time,device_id,login,channel,country,player,game
2015-01-01 13:52:27,7361fc61d20d509e14d1bceb095e950a4a53be8d,62c856bc9a1965df787fefa56ff46c8f2316e3a0,kramer,DE,,Counter-Strike: Global Offensive
2015-01-01 01:20:08,a8f2b43217deffd17fc5589f0933f90224a9f59e,75e990cf18fc10e69d6d765c555cf07543689f4c,frank,US,ipad_t,League of Legends
2015-01-01 09:45:44,53210c06e61e8fa4efcb88ac7bb83163c2d98500,1a18a5fd4f0972a7850e15acbdf93695d2747611,morty,DE,android,Heroes of the Storm
2015-01-01 11:51:40,2f564b5338b183b9fa3c4a237a9d89304af74256,34815f8b5a8a0938bb9c11156ef096aea13ccc50,estelle,ZA,,Dota 2
2015-01-01 13:26:32,1f38af7da15b77ec7e3a1300621358f905b859c8,e713c827cff02e702af24972267a5fafaf7d11c1,susan,RU,,World of Tanks
2015-01-01 23:44:05,b5e1bede5b617bbd9fce5a3950e46c7a4e0b97f5,791c98906d5e9dd7f7e7262840cb66483f60c736,frank,ZA,,League of Legends
2015-01-01 02:00:33,fbebcf6c156a8cec8c3eb3ab80e7466ab26a9909,ce400004bc079271678e8a968275718bb3c0ccb7,elaine,HK,,Gaming Talk Shows
2015-01-01 08:18:29,68e5754064a97e46f965a123257aaafbbc8765ef,827ed009d230a3a09148760c9554bf748d05dfaf,morty,DE,,Heroes of the Storm
2015-01-01 17:43:28,8bd33cf34178a8f4049b37ad8b5ef35f5631df79,9491f56732fd1a8205aa226f63b19c39991d7bd5,frank,JP,,League of Legends
2015-01-01 21:38:06,656df4066327046f35cf18f3145f5fca375e92ac,c9a401687f9927cedcaa142f9cc5ea4642b9d133,george,US,iphone_t,DayZ
2015-01-01 03:36:43,9180d5e4fdc2e66067d69e67e857829242008ba3,83d899c02f5db2bb9cfc5f18e8d2a45993db0ee7,frank,DE,,League of Legends
2015-01-01 07:12:49,8db592832a353ad618ed642aeb5bf1d52191c115,bcbfb276445ee25d7274679fda545291fc22c56e,susan,RU,android,World of Tanks
2015-01-01 15:53:09,d448ba963d7e1023dd1b0a40b95d4f6611750692,77ab14c1fb815e1c369ba0cf7d4c56b4fe489997,frank,GB,iphone_t,League of Legends
2015-01-01 19:01:02,059ebdf09ad5fe4f6db37e3dad48a82d3aab3e90,343cb13f0e786447dd255601413e17d7eb964367,frank,US,,League of Legends
2015-01-01 02:17:10,ac68c4b9bb96e593505e45dc4d9cb674a03803ff,9e555eccbb70e1658a6fcb2980cbc95482f2286d,elaine,TW,,Gaming Talk Shows
2015-01-01 19:46:54,6c8564920cc3c04f8b4b099c7d578ad2b95f9f46,d36cab1346d6c45c42450cafeef549d2e3882d71,george,US,android,DayZ
2015-01-01 13:03:02,b5688b797a57cc7890fcb08823c470a4ee373050,7697d0c4cf1bfe14be34e296de9002c3d76616a0,kramer,DE,,Counter-Strike: Global Offensive
2015-01-01 21:47:45,5b93734447bbf45fc52aa4fda526616234502008,11caa17b0d3ef36c0ffe8d65fc6468da3284a1e7,george,US,,DayZ
2015-01-01 17:06:12,d7496ea3abe9eaa1ddcac3aa6f604b5ee3947a24,02d09667e3ef3624e120dfdc3c525d0a8eac9977,frank,US,,League of Legends
2015-01-01 20:48:47,6ac48ad8a5974d96f5f83565486add0fe7f11b48,71a0f6db0475513e1e90bab601d529829aa6b4f3,frank,US,,League of Legends
2015-01-01 16:57:03,3a94e83d271cc95687959cd571c651fa11535104,9321e0463b20ab4e19564d9d5d5865be264693c0,frank,US,android,League of Legends
2015-01-01 17:35:26,6d7c8d78bef61e2a40a208bae324dba12271305b,a6aef1d4e43364a0a1ef20230756ea209cf0a12e,frank,US,,League of Legends
2015-01-01 02:25:14,a2d694a942758a35033b70c1184f7f0f967bbe3c,943b21f24c421fff8cbc5da893c46cd135751058,elaine,TW,,Gaming Talk Shows
2015-01-01 15:28:30,acec748e8a0b36c1eca2cd27425e1fcd3d396758,af26abfdc5f909fef201edc12ae9be99a991034a,kramer,DE,android,Agar.io
2015-01-01 22:53:14,9cdac514d51f9f472b46cc5e2760d1574f9f9a7a,5ccc58b9af0d6039110306ac48f5fde9a55436ac,george,US,android,DayZ
2015-01-01 02:12:59,189ab1299362e921219dbe32a3f728ae03ac48e4,68ab671552de3586e19c99b94de0718b27334e56,elaine,TW,,Gaming Talk Shows
2015-01-01 13:35:18,818c8f519cfb4451dc2e77c53a65b9fe909d2891,1f36f80f6cb9dd87de529f78f4907c52307e329d,estelle,US,,Dota 2
2015-01-01 13:47:21,812f1f6f68f6e7d727ed4b4dbd53eda69f57ae72,25fb55d5d8e357394e1d50b82580445a8b1fa32e,estelle,PK,,Dota 2
2015-01-01 14:09:16,bee103ca97e87141acda4af74b9044431407bedd,ea36e0ee8f4a6eacdc389a990ba0c0e9d28ec3aa,kramer,PL,android,Counter-Strike: Global Offensive
2015-01-01 17:20:20,51c5c05004101b56db2b5cb60fe5a885d9dbab8d,ab6664a47974705f00f0b5de2cc4793fa46a58d9,frank,FI,,League of Legends
2015-01-01 17:10:19,9627b4a5ed2f653a0404eaf4c2a43905ec9daabb,d47054e773aee8bb3e03dbff62f3dc47e60f8efc,frank,MA,,League of Legends
2015-01-01 16:19:31,b224a8762762db3075c311594734ff5f34a6ba68,69a6d49625f2a023621b7d56a1a6d237a0bc867a,frank,US,,League of Legends
2015-01-01 18:34:23,fe29474ffa0e31c815291edfc23351c8cd7ffe61,d2954cb9a62cf86f3d96f8ed8e498c726c1f3860,jerry,RU,iphone_t,Dota 2
2015-01-01 16:55:28,042c719b01170ba512b8aa0ea4e7d8be1608d06e,1cfbffd0958b53dd594b2e450114b24e6492887a,helen,BR,,Hearthstone: Heroes of Warcraft
2015-01-01 17:37:26,bc4c5c467a5cdfc94a7f30ce402842f2b70b79a2,12cab807a718c5156ad5085b21d3a33e816573d7,morty,BE,ipad_t,Heroes of the Storm
2015-01-01 03:46:18,e7e40a7cf244f51c3a00e916c5c8a7b50071671b,c8a239f077dae4306627906335a2af017b70efb2,frank,US,,League of Legends
2015-01-01 15:28:05,fcb8039f3d406fa267436968fdfca54e08b37f32,5d12c0ce589ecb857a80436f0eec79e47eaab66c,kramer,US,android,Agar.io
2015-01-01 03:44:18,5ff1c136401b983a496fd350cda4c85049eb5847,6134afd1f743d9bcc2e675bdd89a9ecc454bdcfc,frank,SE,,League of Legends
2015-01-01 13:38:51,e53617032d6ce6aa1968ab81accc420955e4ba53,c9992ff2ac8cc171515660aad0d3895b0650e4f6,kramer,US,,Counter-Strike: Global Offensive
2015-01-01 18:59:45,55319b28b39aa38001d0491f67bf130f73f118bc,cd7e84c8fd0bcc39b1f8c7bc3c46e5ab094e5508,jerry,JP,android,Dota 2
2015-01-01 17:39:02,af2556b0464f22953ff45bd4b588af42f1b742d8,bec190356dd92858c95ad9c6016d1c3389a8e639,morty,US,,Heroes of the Storm
2015-01-01 18:27:02,0432e57e287b5f3225f590d9cf06eda8cd991e57,bf431fd153748bec80266073f5c767456af5aa0c,frank,US,,League of Legends
2015-01-01 13:39:10,9aab9c3f606e63c7e032e30ac8dceb5804ca8817,ce4353128a8ee428d7e727c6ceec081b5bcc7710,estelle,ID,,Dota 2
2015-01-01 06:21:46,9517c156eafbc1aa8b0a4e4c5d912693221b65d1,205e713b1f1dc015cb9f5be59345c5802ea9f777,susan,RU,ipad_t,World of Tanks
2015-01-01 20:23:56,d757c3dbe737d371e324b64413c4f7108d29366a,57f04213824bda5ca263a08c0289c23ebc9b4bc7,frank,US,,League of Legends
2015-01-01 19:30:53,3a94e83d271cc95687959cd571c651fa11535104,9321e0463b20ab4e19564d9d5d5865be264693c0,frank,US,android,League of Legends
2015-01-01 21:56:18,c3eb5e99778d22b8e52a106fa23a8ea912a281b8,6051534ef2789c68de4e320dfc1befbf64e15e9e,frank,US,,League of Legends
2015-01-01 16:28:17,b53fd7a9e73f0a56cc06df559419d3993b7bbc66,da211b4da2975cfede8f8b0b14d668eecc757213,frank,US,,League of Legends
2015-01-01 14:14:53,dcffedc3f5a46a895d70d70d5c9c9abfdcb7c33d,8464a5359d8df9d6636355b391b8748d856bc61b,elaine,TW,,Gaming Talk Shows
2015-01-01 11:04:24,d924c63dac283c0860ddfc71ce4093b3394715b8,162d697b7385c591d8e6bd6e8fa10e584659a51f,estelle,HR,,Dota 2
2015-01-01 19:25:01,2164140d411f662a24f7740bf9129fc0f10cf5be,1eb4e25737038d4c13281263eff68b77a7e7d96e,george,US,android,ARK: Survival Evolved
2015-01-01 17:09:01,62b3bbe4b833f08e70885f9c21c9dbbb9eabb94e,c36c8be8e2d9783c7289af67290e286311a2c81d,frank,US,,League of Legends
2015-01-01 17:32:43,c28a2e202a7daca93ba44069062fc90c5b56e3a7,853271558af6e0cd649d2458ddff12c765168808,frank,NO,,League of Legends
2015-01-01 04:15:53,f6ac16c4e6a0a2bcd1bb797e18c66d61ccb4a159,25fe5e4ad0bcc2708d70cb9bb863085d6d93a560,frank,US,,League of Legends
2015-01-01 23:42:41,d3c91f4874273e9417569038f993699b6b759082,be65239466d063596045df721f9c71de4316875c,george,US,iphone_t,DayZ
2015-01-01 21:51:16,2d36250d6911e3fcc6993a2066926ca66a6ede2d,fffafc79bfab6085f3825a043ec9354d626dc21f,frank,US,,League of Legends
2015-01-01 10:56:03,47c1f0a55228454ae7d4040fe678a2d34f0ad701,f00a0557450662749a750f688c9a3711d304a785,estelle,US,,Dota 2
2015-01-01 07:13:12,97d9e830fd66eb64979892db745ff49e80da7cba,4c49673d93acf430954ed6a99f36312a6f2ecd9c,elaine,TW,,Gaming Talk Shows
2015-01-01 16:29:04,270d622785b79f2f9a1eb507418529e830e2d69a,a0fbe43adde73eaef70a8c94e9b4e2d80461c278,morty,CA,,Heroes of the Storm
2015-01-01 09:46:18,c9a629c50799cd2797bea16840148fa90bdea9b9,1a1102fbe66869c5a8c05cf2a4d89c7b3e5aef5b,elaine,TW,android,Gaming Talk Shows
2015-01-01 20:41:23,9ec429deeaeb405929e66fcc713f1b513601b4a1,b50bceb9885a04821f4051643a6eb93f4553cd52,george,US,iphone_t,DayZ
2015-01-01 04:07:55,6988045b3fd69662af6ddeb9143147ce3df91aaf,5f9eccc0782a716c579a585f58bffca4da631d3d,frank,HR,,League of Legends
2015-01-01 11:33:24,66dfef3a1c3f8a1ae22a4e177c5d9a9dcff423b4,f8040e1e33a1249efd01fe5825f186c3ca305339,estelle,CA,,Dota 2
2015-01-01 16:38:47,f3fa942b885b4c1e86d2827c94a9b1bbe5b97fd9,8f43cddd81a74a65ddd9595b4ef3bc378a3baf0b,frank,NL,,League of Legends
2015-01-01 22:26:26,b285809cec96e85d5eead5e203026a4fd7571a31,219539e4050db42df28f7de216cbdef75ec8afcd,george,CA,,DayZ
2015-01-01 16:57:07,c26f7feb9f099e98cc079755086d8c5c44c1970a,c044c7351891952c34cc9ad0651b25fe6662cd20,frank,GB,,League of Legends
2015-01-01 12:11:00,751f5130dece6d83809b1e5a5f8119a8caffb010,0f9f233e26f21004d74bad4de8ab82e246ec818b,kramer,RU,iphone_t,Counter-Strike: Global Offensive
2015-01-01 16:46:56,75cd7b55826b784b37377906139ec902e52e946d,1cd1a1e1bb016bd62bd139e7b51bbbe305501a8b,morty,GB,,Heroes of the Storm
2015-01-01 19:07:04,75a5746ef2a0f32646915dde3f6e50bd4a5434b7,27652919ff28b946acdb108a931515317e040fea,helen,US,,Hearthstone: Heroes of Warcraft
2015-01-01 17:26:47,bf2db6b02214f794ebadb305ea92d49fb445fde6,7562a96abedbd9f2fbaa5453a1459db38ca5732b,newman,GB,ipad_t,Rocket League
2015-01-01 18:18:48,d757c3dbe737d371e324b64413c4f7108d29366a,57f04213824bda5ca263a08c0289c23ebc9b4bc7,frank,US,,League of Legends
2015-01-01 23:45:39,e0bd53c293a4daf323ff0624d3ff04de0deb7f50,5a6e1ea2c4a89311e7b9bf725ee946ff4478f351,frank,CA,,League of Legends
2015-01-01 19:46:02,06465f0d60ef0c0ce9759f8f374a4589c0d1b957,bbc0d21a88319e6db097d82e5dec25ae896b88fb,george,US,iphone_t,DayZ
2015-01-01 15:02:46,0c41583a4fc89f885fa52f05f33306bc99be3beb,5275ad3d09dff8a1b61f17ba135b0fdfef23c567,morty,US,,Heroes of the Storm
2015-01-01 17:44:54,e9d0bff7010f6e12a21f87eae4344b8d20cf4e4d,d1a976e18a237b798e3080efd03b2880460361be,morty,US,,Heroes of the Storm
2015-01-01 16:14:55,18b1b941ac231e65a3859de217e0e66688e334b1,4e3c0e7ca021b7d9a5804059187d0cf8b6d7814a,frank,NL,,League of Legends
2015-01-01 01:28:37,2d36250d6911e3fcc6993a2066926ca66a6ede2d,fffafc79bfab6085f3825a043ec9354d626dc21f,frank,US,,League of Legends
2015-01-01 05:40:12,5b7894c5a701a614055c3499fb7761696dbd21ae,07e6ec95331b484a94b23cc953d00557637b614f,susan,RU,,World of Tanks
2015-01-01 11:44:19,1e2800f9fc9f6cb6835f6032e49f23c9be06565a,2ebc0babfdd925b2246d45339fd8164b76bc6a76,estelle,MY,,Dota 2
2015-01-01 13:23:45,f04045cf81003196dc8f0d0407b5b11c4bb29105,c52154ef27bee7c5ba8eca401cad2d7ddf18be15,estelle,PK,,Dota 2
2015-01-01 21:04:41,e8d6197544205f6fd8879cf80ce5440a8f7ddefa,c2feff3bdbd14e8e679054744e363668f86ee996,george,US,android,DayZ
2015-01-01 11:25:58,d545672bd7a3d7f86bc5296edcc742e462a782a1,ac36751e817f8bb8a95454fb997d5941bc42f97a,morty,US,,Heroes of the Storm
2015-01-01 20:46:11,8f07a1a6026a67b0be46269f19864de7e266c07a,83afb3f8ffc7dfd3d1db3b5a88dc536bd0f774d2,frank,US,android,League of Legends
2015-01-01 12:42:30,ca2f3c2f136e9b96c3331f9cb6cc81804ea095c9,01265248956d9774b1b6ee279611f399781f307f,estelle,US,,Dota 2
2015-01-01 04:21:28,9b4a809d9cee674453b8168f9ce624ccd33b6056,6664dfdfbc189637725df734d437d8ab497a2860,frank,NO,,League of Legends
2015-01-01 04:14:00,82ff5b11c2d8b79ac2ba090b7041c1400594c852,2763f2a28b28874637ef22ee2acfd2f76c940376,frank,CZ,,League of Legends
2015-01-01 18:03:09,c63b8fcf962b39a890091f01c1f16de6de5e7a19,a310d3198a43207bf64885e9655e6ef2b20ab581,helen,US,,Hearthstone: Heroes of Warcraft
2015-01-01 12:28:16,32fe6b6d3fc0edc0f8d8c4de0a32230d33b3fbed,b784670e47a8d5a80eb9821177d1e18054620ce7,helen,NL,ipad_t,Hearthstone: Heroes of Warcraft
2015-01-01 12:55:45,bb85aebdb6649544ff420b8244dc4f038fd6750f,f283877ba009c13aacb792e3bcc81712f883190b,estelle,US,,Dota 2
2015-01-01 13:41:09,1a3892ab5956783b73a35671cca820c1082590cf,092caae327cca176c8e99dec48a9b12299c1e7af,kramer,US,,Counter-Strike: Global Offensive
2015-01-01 21:17:36,6c30689db7676102cff70c1face71771f129fb17,ae4a433f97bd7adf091248085d085addd23435e2,frank,PT,,League of Legends
2015-01-01 05:19:14,41b6c682e1912b4fbaa03e1f8da7bc38ef8298db,194b1eed530d34f24df5b644fc2a8ed25aa6c48c,frank,US,,League of Legends
2015-01-01 22:17:46,e98724a5ce00a7066ca3cba4a5aef8177a09771b,076c80d5a9ce096ef09b1441a7491e79d992c80c,george,SA,iphone_t,DayZ
2015-01-01 11:58:43,babf275ac1e5bb2b5f11a9c9104b2d3e4bd3d4fd,b5a1249c3ae68364ffbe24f985a0b6ced5bb843c,kramer,NL,android,Counter-Strike: Global Offensive
2015-01-01 06:20:06,d3e209f0e4526aed014c206ca64482f2d68d03cc,c20dcfc852d995919f8255e8ee4b6cd3f8d5b1a9,jerry,RU,,Dota 2
2015-01-01 16:36:24,1febdf939aec447b963fddeddf3cdadf6047d352,0edfdeb1434324f5d2fe645bb3e5c6061c33860e,frank,US,,League of Legends
2015-01-01 11:06:07,73991c4322775d6f4a035694757502db801d5c4e,6f8ff1897d42dcd26a799ac9ce4c3e3ab863a0ad,estelle,PE,,Dota 2
2015-01-01 01:18:09,23586f3c525cc1cef8861e79631be69f9a3fbd98,3302b850d3a952f6ba73b7a53f9c8c57c9863464,frank,US,,League of Legends
2015-01-01 15:57:06,b9ae93c6f4944c70ab8d2fc39afba608af4d133d,fdfab9220f40f1e0cd615689c26c1b8a16ab26f9,morty,NL,,Heroes of the Storm
2015-01-01 13:34:22,66335dab403e973b8315c4131de01ba78cc3aa33,0786ef5eb47555f04bec1b6e77c9c5d89425bed8,kramer,CZ,android,Counter-Strike: Global Offensive
2015-01-01 03:48:26,3a99dce2b62143e188de26a7f2566bb2be5fb8e0,f8f7c09b71c062c36b2eee0f49887ab0b4599f84,frank,GR,,League of Legends
2015-01-01 12:22:04,a133628e51998ef2a4acb45360efed9b8d1cb528,e0bcb7f3698e29ed0e4609d56e5ed3951cbdef80,kramer,PL,android,Counter-Strike: Global Offensive
2015-01-01 18:34:28,025b52f31e43125fcca8faf26484b7744a0b5478,70a63fb614e0975d52b5f3be5a30601ae0e1bf86,jerry,RU,,Dota 2
2015-01-01 19:32:48,563d6f2752514681a1b34051d27612c20dbaa847,44a2d1fa28374af2742eef4a756bcbff189a4553,frank,US,,League of Legends
2015-01-01 04:36:53,e1241c0feae99033e8c2ae34168d0fa5050841c7,69c3899dc831f8ee7c6076224b9de57c425e4270,frank,US,,League of Legends
2015-01-01 18:20:05,73b7008ff62fcf38ecb2b6e936a76b542b108117,c0faf4dcd0e1619a7cb5fbb1c5b57058a848ed23,frank,US,,League of Legends
2015-01-01 04:28:33,e46ff294fb2b673796751f9a031e4b3aefb05990,71878ea642e91b5db6f4fb0bbfdc0635621a9b2c,frank,DE,,League of Legends
2015-01-01 12:20:40,da14507e824945c018b739922c883464c92c938d,3f27ebe060cc0ade371f442f456be49647729368,estelle,US,,Dota 2
2015-01-01 09:24:59,6763a545139b9c4ade7dce255b7de4775d2f6f10,1d2760b579bcd5493e9851b6e949690ec4aadc12,morty,FI,,Heroes of the Storm
2015-01-01 11:43:15,d9e38866e18738b0b95da6cd3cc94ce1d3c9f784,3b5e53b3d6c134028909ff96821edfbe18d10e8c,estelle,IT,,Dota 2
2015-01-01 02:09:44,8bfe2678584d73dacf95750a3404f563ca384c6e,d16757edc548f0aa5d77fbeeee5e21d9d2ee49c3,elaine,TW,,Gaming Talk Shows
2015-01-01 16:02:08,76dce7a9c8bfbbe03e14472461c40baf8b80f48f,acc9f6bf3989cfef6978d05f80f1aa7e23d19f64,frank,PL,android,
2015-01-01 11:32:34,0e861ff16c293004421ff3a8b215b720de3f428d,a63b2a5cdb74d60ed2f04c36b1a0b00567b61c3b,estelle,GE,,Dota 2
2015-01-01 04:05:29,de5015b5788dae77363197b4284311a557172143,512567ba771376e408d1f5ee7b3bd65828eff4ae,frank,RS,,League of Legends
2015-01-01 12:30:42,86935cd20d46b6e4ea64b04cf1be0b45b0c28748,277853f553edbd9fb55714e9010026ae292852fa,morty,DE,,Heroes of the Storm
2015-01-01 17:11:49,273d37645681745700f24ffc819f4b5948d905b1,0aac8f948b092a14399816baf47670a8b77d5753,susan,RU,,World of Tanks
2015-01-01 15:31:29,1739089bd7013ac13068f544017a076853a2533d,8483597e3467772d6ee4e4282d1fbe7b4ac0c411,kramer,SE,,Counter-Strike: Global Offensive
2015-01-01 15:19:34,f77a6b37d84d98ac380a690ce89fe7e1bbe1e1e5,8184c5dc6ee0834dd32b319ceafa9b27c90bdf79,newman,BE,,Duck Game
2015-01-01 11:05:24,9040b94a601ee7671d2a3b14bdb2dd2e1e2dd815,b803fcacffa82fe2c0faf862550b7b196d2ba64c,estelle,ZA,,Dota 2
2015-01-01 12:23:40,4629299c3936de59ab42acc11d010d495381988b,9689d45e214d415c89a4e0d6ef2170e53c38fc95,kramer,US,,Counter-Strike: Global Offensive
2015-01-01 12:34:10,9453dd46dcf8fcfa4b3b44362214b79f1f6f9c0f,c9477dc3f3e039d260f49aa316b56e02cba8cab3,kramer,NL,,Counter-Strike: Global Offensive
2015-01-01 17:49:18,f79bd229238bca339b7cc73bd3395337cdc8ca34,bcec7402eccaabeda9ceeb919dddc8395e2b3bec,helen,US,iphone_t,Hearthstone: Heroes of Warcraft
2015-01-01 13:26:32,b9f254adac8f442a5624ef1c7dd4465a76c9328c,0ce7f727a2e11334597648710cbb80043c72c05e,estelle,FR,,Dota 2
2015-01-01 12:08:07,1366a1288770f2ac3bcdfe8faa594f8da7919e7b,84d7b622df1126c55eed369bf92e91c16f12b856,estelle,RO,,Dota 2
2015-01-01 22:56:28,376c59ba7bd526fbee8bfd65277ef269a216d8d7,728593368e0e288a7e33d3ed1fe632bb342eb28c,george,US,iphone_t,DayZ
2015-01-01 18:26:32,4426269a93889741438c08c84e1b39ef89079a16,31bfeb5bffaff3b1cd2650b58f923af601eaff27,frank,US,,League of Legends
2015-01-01 17:39:15,0f52b86d68f657df09ece177c3150441aa898ded,1705f4f8f2c67017e7dd874df1ec5e9644fcdff7,frank,US,,League of Legends
2015-01-01 13:35:14,d1e1922b77010edcfcd7777445fa20df5f929d7f,e94dd2439131aa373359006bc23d6256fb15802e,kramer,US,iphone_t,Counter-Strike: Global Offensive
2015-01-01 04:35:06,5d9e0fa020a533bd60479e14dfcef6ce97f644f7,295fdfaa833ba36dee941258b198e8575106b56a,frank,US,,League of Legends
2015-01-01 02:49:52,5c6838ccfe43dcf8830f2ce203854a0b70e96f06,691ffefdb81c901b953927546685f71a6b0e8ae3,elaine,TW,,Devil May Cry 4: Special Edition
2015-01-01 04:45:14,698db5a0e9c4025fe2a1cd094d0cdda647831339,770a8dc070d9db7ab582bc8a27e436fa8aadeb0a,susan,UA,,World of Tanks
2015-01-01 13:38:34,334846dfae8046d391ce2a4d0fc2ea5113378244,a03e5c9f0e9441f61f58c9277ea16ae6043b9bd3,estelle,AW,,Dota 2
2015-01-01 10:07:02,5148f5f494b716452a2f90213bca626f7e7264c3,98b27349f06f899e3b63f38aef8a0b77d97b152a,morty,IT,,Heroes of the Storm
2015-01-01 22:38:36,0ce5bdb801c3fa9114fa8023c4b101f7e50f6f65,3a06d15a5c5f48ce2374eb3c493f246d32bd8053,george,US,,DayZ
2015-01-01 16:22:29,ce1c69c46decb345507da04f2fb4b7f71ca7d5ee,0beb0180511ae82309047d497cba64d0195d1dba,helen,IT,,Hearthstone: Heroes of Warcraft
2015-01-01 12:06:53,c21d8cc28a8036d1c3914426fe3fd0a3b6907819,65d621c729b2e0129948d85998c8a957415f7df6,estelle,,,Dota 2
2015-01-01 03:50:32,2158648656ed9587429dc1f56b91bbc6a1cb3ac4,65156dd6d644bedb5c8a72062dffe9fa33eb6bc6,frank,GB,,League of Legends
2015-01-01 12:14:02,dcffedc3f5a46a895d70d70d5c9c9abfdcb7c33d,8464a5359d8df9d6636355b391b8748d856bc61b,elaine,TW,,Gaming Talk Shows
2015-01-01 11:52:15,3c828a67e6c08eed2e8f4367a54069258f6de4ec,b99ad7ce1b96d039fbff0971a09341a5c1cf0a71,estelle,IN,,Dota 2
2015-01-01 21:35:21,17c718bdc413de33695e13b1ddc9b0e120db002f,23ebc07643a40a5bd7e4781df3083ba5663d8c95,george,US,,DayZ
2015-01-01 16:33:34,ff575e9769d499b5eced078364d6c9e9835f0a9f,c1d762ad197227a43cad28ade2a4d49108af7878,frank,US,,League of Legends
2015-01-01 03:39:18,de5015b5788dae77363197b4284311a557172143,512567ba771376e408d1f5ee7b3bd65828eff4ae,frank,RS,,League of Legends
2015-01-01 07:39:00,77ee683f1e85f12853c791fe287adbcdbc7b2dce,edcd4e20434b630ccd7bb19d7224da949daea6fa,susan,UA,android,World of Tanks
2015-01-01 15:17:27,f0c86a53432b82bc6aaf029fbea3bf152272ec18,d7de6f9feb64481c3980d195385f6952f54717d1,kramer,US,,Agar.io
2015-01-01 19:53:01,f44bccbd7a79d4cf16fb85409dfb5f6f7d13f209,085fde1585fa7e4bf36e982d8a55d6ea026f6c1f,morty,US,,Heroes of the Storm
2015-01-01 11:02:27,132de1f0ede46bcd2dac94340158f91754766194,b4edc0f44c083d012c88f4341ccfe5ec8ea34223,estelle,PH,,Dota 2
2015-01-01 19:02:19,c389239d8e8b7b6c60c54898c7473cec93d447a3,644c5749d84c18553123dd02afac13d8fcfc5e5e,newman,US,iphone_t,The Binding of Isaac: Rebirth
2015-01-01 23:54:43,fca4b38c50562bcf1fb70dd87544fc336887e28f,fd788a77ba6cc21c73636bba3b3dc680c5681ef8,frank,US,,League of Legends
2015-01-01 17:53:32,07be719555c6f97fc3543e0f35ba94c3ba517ca9,143039a699d6f998631e3d9726a95bfa986608ca,helen,US,,Hearthstone: Heroes of Warcraft
2015-01-01 04:16:51,dc537eef5aeba952a3282c2dd5afe03db382de8f,2645db18c57c0c848bf17337d126a719c124118d,frank,DK,iphone_t,League of Legends
